AreaID,CrimeCode,VictimAge
1,210,99
1,210,99
2,210,99
2,210,99
3,210,99
1,230,99
1,230,99
2,230,99
9,231,99
1,236,99
5,236,99
7,236,99
2,310,99
2,310,99
3,310,99
8,310,99
1,330,99
2,330,99
2,330,99
3,330,99
3,330,99
6,330,99
7,330,99
9,330,99
9,330,99
9,331,99
1,341,99
3,341,99
6,341,99
9,341,99
5,354,99
6,354,99
7,354,99
8,354,99
6,410,99
6,440,99
6,440,99
7,440,99
9,440,99
8,442,99
3,480,99
9,480,99
1,624,99
2,624,99
3,624,99
6,624,99
6,626,99
7,626,99
7,626,99
1,649,99
9,664,99
1,740,99
6,740,99
8,740,99
8,745,99
1,760,99
1,760,99
1,806,99
8,900,99
2,930,99
9,946,99
9,946,99
3,236,98
3,310,98
7,310,98
8,310,98
8,320,98
6,331,98
7,341,98
7,354,98
2,440,98
9,442,98
3,740,98
2,745,98
3,930,98
4,930,98
9,930,98
3,310,97
8,310,97
8,341,97
9,350,97
3,354,97
5,354,97
8,440,97
7,624,97
3,649,97
9,740,97
7,886,97
3,310,96
3,310,96
8,310,96
8,310,96
9,310,96
8,320,96
2,330,96
1,341,96
8,354,96
8,354,96
8,354,96
3,440,96
2,626,96
4,740,96
6,745,96
7,745,96
3,956,96
3,310,95
5,310,95
5,310,95
6,310,95
7,310,95
8,310,95
5,320,95
8,331,95
4,341,95
3,440,95
3,440,95
4,440,95
6,440,95
4,624,95
5,624,95
6,624,95
6,662,95
2,740,95
7,745,95
6,888,95
8,888,95
6,956,95
3,210,94
2,310,94
3,310,94
3,310,94
7,310,94
7,310,94
8,310,94
8,310,94
8,310,94
9,310,94
2,330,94
1,341,94
8,341,94
8,341,94
3,350,94
7,351,94
9,354,94
1,440,94
2,440,94
7,440,94
3,624,94
7,624,94
7,624,94
7,624,94
8,624,94
8,624,94
1,662,94
1,662,94
8,662,94
8,662,94
8,664,94
7,666,94
13,740,94
4,888,94
2,310,93
3,310,93
7,310,93
7,310,93
8,310,93
8,310,93
5,320,93
3,341,93
5,341,93
8,341,93
8,341,93
2,354,93
3,354,93
7,354,93
8,354,93
9,354,93
7,440,93
8,440,93
2,441,93
8,624,93
9,624,93
3,649,93
5,666,93
4,668,93
3,740,93
7,740,93
3,761,93
6,888,93
6,121,92
6,210,92
9,230,92
4,310,92
4,310,92
7,310,92
8,310,92
8,310,92
8,310,92
3,320,92
2,341,92
3,341,92
3,341,92
6,341,92
7,341,92
7,341,92
8,341,92
8,341,92
7,350,92
2,354,92
7,354,92
8,354,92
8,420,92
5,440,92
6,440,92
7,440,92
8,440,92
9,440,92
1,624,92
7,624,92
3,626,92
7,626,92
9,649,92
5,745,92
6,745,92
7,745,92
7,900,92
5,946,92
6,956,92
2,310,91
2,310,91
5,310,91
6,310,91
2,341,91
6,341,91
8,341,91
8,341,91
3,350,91
2,354,91
3,354,91
5,354,91
6,354,91
8,354,91
4,420,91
9,420,91
2,440,91
6,440,91
8,440,91
8,440,91
8,440,91
8,480,91
3,624,91
8,624,91
9,624,91
4,625,91
7,651,91
7,653,91
3,662,91
8,662,91
9,662,91
3,664,91
3,740,91
3,745,91
6,850,91
8,888,91
7,930,91
5,210,90
6,210,90
9,210,90
2,230,90
2,310,90
2,310,90
2,310,90
3,310,90
3,310,90
3,310,90
4,310,90
5,310,90
5,310,90
7,310,90
7,310,90
8,310,90
8,310,90
8,310,90
8,310,90
9,310,90
4,320,90
1,330,90
5,331,90
6,341,90
6,341,90
7,341,90
8,341,90
9,341,90
9,341,90
6,354,90
6,354,90
8,354,90
8,354,90
9,354,90
6,420,90
8,420,90
8,420,90
2,440,90
4,440,90
7,440,90
8,440,90
8,440,90
9,440,90
9,440,90
2,624,90
5,624,90
7,649,90
9,662,90
9,662,90
9,662,90
9,662,90
3,740,90
8,740,90
3,745,90
2,860,90
5,888,90
5,888,90
8,888,90
3,901,90
8,956,90
1,110,89
6,110,89
3,210,89
5,210,89
8,210,89
4,230,89
7,230,89
3,310,89
3,310,89
4,310,89
4,310,89
5,310,89
7,310,89
7,310,89
8,310,89
8,310,89
7,320,89
8,320,89
3,330,89
9,330,89
5,331,89
2,341,89
3,341,89
7,341,89
9,341,89
3,354,89
8,354,89
8,354,89
9,354,89
3,420,89
3,420,89
1,440,89
3,440,89
3,440,89
5,440,89
6,440,89
7,440,89
9,440,89
9,440,89
2,441,89
3,624,89
3,624,89
3,624,89
3,624,89
4,624,89
6,624,89
8,624,89
8,624,89
4,625,89
8,625,89
8,649,89
6,662,89
8,662,89
5,740,89
3,745,89
5,745,89
5,745,89
6,745,89
7,745,89
4,901,89
7,901,89
3,930,89
8,933,89
3,210,88
3,210,88
1,220,88
7,220,88
3,230,88
6,230,88
1,310,88
3,310,88
3,310,88
3,310,88
5,310,88
5,310,88
6,310,88
7,310,88
8,310,88
8,310,88
8,310,88
8,310,88
8,320,88
1,330,88
5,330,88
8,330,88
8,330,88
8,330,88
6,341,88
7,341,88
7,341,88
8,341,88
8,341,88
8,341,88
9,341,88
1,350,88
3,351,88
3,351,88
3,351,88
1,354,88
2,354,88
3,354,88
8,354,88
8,354,88
8,354,88
8,354,88
9,354,88
9,420,88
4,440,88
5,440,88
6,440,88
6,440,88
7,440,88
8,440,88
8,440,88
9,440,88
9,440,88
1,624,88
2,624,88
3,624,88
4,624,88
9,624,88
7,626,88
9,626,88
3,649,88
9,649,88
1,662,88
2,662,88
7,662,88
7,662,88
8,662,88
1,666,88
1,740,88
5,740,88
6,740,88
6,740,88
8,740,88
8,740,88
7,745,88
2,888,88
6,888,88
7,901,88
6,956,88
2,210,87
7,210,87
8,230,87
2,310,87
3,310,87
3,310,87
3,310,87
3,310,87
4,310,87
7,310,87
7,310,87
7,310,87
7,310,87
7,310,87
7,310,87
8,310,87
8,310,87
9,310,87
5,320,87
8,320,87
9,330,87
2,341,87
4,341,87
6,341,87
7,341,87
7,341,87
8,341,87
1,351,87
3,354,87
4,354,87
5,354,87
7,354,87
9,354,87
9,354,87
4,420,87
8,420,87
2,440,87
2,440,87
3,440,87
4,440,87
4,440,87
6,440,87
9,440,87
4,624,87
6,624,87
6,624,87
6,624,87
7,624,87
8,624,87
8,624,87
8,624,87
1,649,87
8,649,87
8,649,87
6,662,87
6,662,87
8,662,87
8,662,87
8,662,87
1,664,87
4,664,87
8,740,87
9,740,87
5,753,87
7,815,87
7,850,87
9,888,87
7,901,87
4,902,87
4,903,87
4,230,86
3,251,86
5,251,86
2,310,86
2,310,86
3,310,86
4,310,86
5,310,86
5,310,86
6,310,86
6,310,86
7,310,86
7,310,86
8,310,86
8,310,86
8,310,86
8,310,86
8,310,86
8,310,86
9,310,86
9,310,86
8,320,86
1,330,86
9,330,86
2,341,86
2,341,86
4,341,86
4,341,86
5,341,86
6,341,86
7,341,86
7,341,86
8,341,86
2,350,86
9,350,86
20,351,86
1,354,86
3,354,86
3,354,86
5,354,86
6,354,86
7,354,86
7,354,86
8,354,86
8,354,86
9,354,86
9,354,86
9,354,86
20,354,86
2,420,86
3,420,86
3,420,86
6,420,86
9,420,86
9,420,86
2,440,86
3,440,86
3,440,86
5,440,86
7,440,86
8,440,86
8,440,86
8,440,86
9,440,86
1,624,86
2,624,86
2,624,86
2,624,86
3,624,86
6,624,86
7,624,86
7,624,86
8,624,86
9,624,86
3,649,86
7,649,86
8,649,86
8,649,86
8,649,86
9,649,86
6,662,86
2,666,86
3,740,86
7,740,86
7,740,86
8,740,86
8,740,86
5,745,86
7,745,86
8,745,86
8,745,86
9,745,86
2,860,86
6,886,86
3,888,86
3,888,86
7,888,86
8,888,86
3,900,86
4,900,86
8,940,86
3,956,86
8,956,86
1,210,85
2,210,85
4,210,85
4,210,85
4,210,85
6,210,85
9,210,85
2,230,85
3,230,85
4,230,85
3,251,85
3,310,85
3,310,85
3,310,85
3,310,85
7,310,85
7,310,85
8,310,85
8,310,85
8,310,85
8,310,85
8,310,85
3,320,85
4,320,85
2,330,85
4,330,85
5,330,85
8,330,85
8,330,85
8,330,85
4,331,85
2,341,85
2,341,85
